Year	 Region	 Subfunction	 Total						
2012 	  Midwest	  General administration	  17,616,123.00 						
2012 	  Midwest	  Basic assistance	  15,268,422.00 						
2012 	  Midwest	  Scientific development	  1,165,515.00 						
2012 	  Midwest	  Basic education	  15,004,089.43 						
2012 	  Midwest	  Elementary school	  2,311,855.17 						
2012 	  Midwest	  Professionalizing education	  8,640,750.00 						
2012 	  Midwest	  College education	  16,712,642.21 						
2012 	  Midwest	  Human resource development	  26,089.34 						
2012 	  Midwest	  Funds transfer for basic education	  2,385,923.94 						
