category	measure						
General administration	  1118888.18 						
Basic assistance	  76800000.00 						
Scientific development	  1337712.11 						
Dissemination of scientific knowledge	  4160649.00 						
Basic education	  90891597.69 						
Adult education	  115000.00 						
Special education	  5671324.80 						
Child education	  37368105.96 						
Elementary school	  8004536.92 						
High school	  5143211.42 						
Professionalizing education	  292976668.04 						
College education	  86686611.99 						
Human resource development	  25588133.16 						
Information technology	  543257.92 						
Funds transfer for basic education	  289882978.45 						
