category	measure						
General administration	  704563639.24 						
Child and teenager assistance	  696045.88 						
Scientific development	  2856776.81 						
Dissemination of scientific knowledge	  268699.27 						
Individual and collective rights	  2687039.65 						
Basic education	  119943041.88 						
Adult education	  2470572.23 						
Special education	  1639692.45 						
Child education	  6346239.03 						
High school	  720000.00 						
Professionalizing education	  171864186.34 						
College education	  99508613.93 						
Human resource development	  70200368.19 						
Information technology	  2324242.75 						
Funds transfer for basic education	  1363282448.71 						
