Year	ID BRA	ID	Major	Enrolled	NumStudents
2013	5	380D01	Law	127598	171151
2013	5	345A01	Business and Management	118148	174663
2013	5	344C02	Accounting	49172	66842
2013	5	5.82E+05	Civil Engineering	36369	45894
2013	5	142P01	Pedagogy	33759	45506
2013	5	311P02	Psychology	30906	42159
2013	5	581A05	Architeture	24292	31612
2013	5	5.21E+07	Mechanical engineering	29009	21329
2013	5	7.23E+03	Nursing	21123	28650
2013	5	146F15	PE Degree	19452	27996
2013	5	481C01	Computer Science	28895	18966
2013	5	5.20E+07	Production Engineering	26033	18556
2013	5	621A04	Agronomy	17771	21478
2013	5	721M01	Medicine	16399	17095
2013	5	7.20E+03	Prysical Education	16313	10236
