courses	total
Direito	147455
Administração	117650
Enfermagem	71787
Pedagogia	67939
Ciências Contábeis	48925
Fisioterapia	27851
Psicologia	25281
Língua Portuguesa Lic	23368
Biologia Lic	19925
História Lic	19800
Medicina	19784
Serviço Social	19325
Educação Física Lic	17757
Matemática Lic	16789
Nutrição	15366
