courses	total
Administração	137071
Direito	116763
Ciências Contábeis	45891
Pedagogia	34574
Psicologia	24701
Educação Física Lic	23551
Enfermagem	23295
Engenharia Civil	16383
Arquitetura e Urbanismo	16081
Farmácia	15387
Medicina	14701
Sistemas de Informação	13895
Fisioterapia	13812
Engenharia Mecânica	13457
Agronomia	13451
