courses	total
Administração	115506
Direito	111612
Ciências Contábeis	43534
Pedagogia	27414
Enfermagem	23198
Educação Física Lic	18907
Educação Física	16026
Psicologia	15631
Farmácia	14840
Sistemas de Informação	14238
Arquitetura e Urbanismo	14133
Medicina	14114
Fisioterapia	13576
Engenharia Civil	13127
Agronomia	12544
