courses	total
Direito	88778
Administração	63593
Pedagogia	28101
Ciências Contábeis	24826
Enfermagem	23641
Educação Física Lic	12386
Farmácia	10743
Psicologia	10030
Sistemas de Informação	9848
Engenharia Civil	9481
Biologia Lic	9405
Agronomia	8917
Fisioterapia	7949
Gestão de Pessoa/ RH	6736
Arquitetura e Urbanismo	6537
