courses	total
Direito	42949
Administração	34231
Pedagogia	27283
Enfermagem	17114
Ciências Contábeis	16773
Língua Portuguesa Lic	11397
Matemática Lic	10419
Medicina	9464
Serviço Social	9339
Educação Física Lic	8607
Psicologia	7418
Biologia Lic	7350
Fisioterapia	6771
Odontologia	6015
Farmácia	5890
