courses	total
Direito	135733
Administração	95315
Enfermagem	63155
Pedagogia	58342
Ciências Contábeis	44207
Fisioterapia	26270
Medicina	17161
História Lic	16127
Serviço Social	16014
Matemática Lic	15669
Biologia Lic	14343
Lingua Portuguesa Lic	13737
Psicologia	13723
Engenharia Civil	13049
Nutrição	12834
