courses	total
Direito	84145
Administração	52511
Pedagogia	22368
Ciências contábeis	21409
Enfermagem	21239
Farmácia	10034
Sistemas de Informação	9628
Educação Física Lic	9328
Língua Portuguesa Lic	7931
Agronomia	7887
Fisioterapia	7713
Psicologia	7572
Publicidade e Propaganda	6666
Engenharia Civil	6557
Matemática Lic	5846
