Year	ID BRA	ID	Major	Enrolled	NumStudents
2011	4	345A01	Business and Managemant	352577	470837
2011	4	380D01	Law	303741	391213
2011	4	142P01	Pedagogy	142259	177176
2011	4	7.23E+03	Nursing	99303	128728
2011	4	344C02	Accounting	94656	121233
2011	4	5.82E+05	Civil Engineering	77625	100093
2011	4	5.20E+07	Production Engineering	75072	98464
2011	4	311P02	Psychology	72051	93200
2011	4	481C01	Computer Science	70047	98197
2011	4	146F15	PE Degree	55247	79295
2011	4	727F01	Pharmacy	55061	70486
2011	4	721M01	Medicine	54982	57746
2011	4	345G09	Human Resources	54354	73819
2011	4	345G13	Logistics	45182	64112
2011	4	5.21E+07	Mechanical Engineering	43068	55671
