Year	ID BRA	ID	Major	Enrolled	NumStudents
2013	4	345A01	Business and Management	324184	454068
2013	4	380D01	Law	320615	415087
2013	4	142P01	Pedagogy	145400	184784
2013	4	5.82E+05	Civil Engineering	138101	179331
2013	4	344C02	Accounting	103342	137439
2013	4	5.20E+07	92354	126148	156316
2013	4	311P02	Psychology	84739	112477
2013	4	7.23E+03	Nursing	82520	115134
2013	4	481C01	Computer Science	64202	102354
2013	4	5.21E+07	Mechanical Wngineering	62841	97523
2013	4	345G09	Human Resources	59668	87569
2013	4	581A05	Architeture	56555	71888
2013	4	721M01	Medicine	55042	70356
2013	4	146F15	PE Degree	52260	53682
2013	4	342P02	Advertising	52162	52982
