courses	total
Direito	38306
Administração	31331
Pedagogia	20734
Ciências Contábeis	15477
Enfermagem	13929
Medicina	8462
Serviço social	8130
Fisioterapia	6634
Biologia Licenciatura	5754
Ed. Física Lic	5479
Odontologia	5379
Matemática Lic	5285
Psicologia	5029
Farmácia	4939
Engenharia Civil	4801
