Year	ID BRA	ID	Major	Enrolled	NumStudents
2012	5	345A01	Business and Management	125937	186890
2012	5	380D01	Law	123556	165623
2012	5	344C02	Accounting	48955	66132
2012	5	142P01	Pedagogy	34068	45671
2012	5	5.82E+05	Civil Engineering	28704	36265
2012	5	311P02	Psychology	28551	39171
2012	5	7.23E+03	Nursing	21618	28660
2012	5	581A05	Architecture	21011	27044
2012	5	146F15	PE Degree	20554	29563
2012	5	481C01	Computer Science	19587	29857
2012	5	5.21E+07	Mechanical Engineering	18593	25546
2012	5	5.20E+07	Production Engineering	16815	23727
2012	5	621A04	Agronomy	16018	19595
2012	5	721M01	Medicine	15951	16719
2012	5	7.20E+03	14792	20917	
