courses	total
Administração	353145
Direito	298502
Pedagogia	139684
Enfermagem	108731
Ciências Contábeis	87813
Psicologia	68990
Educação Física Lic	60917
Engenharia Física	60045
Farmácia	56984
Medicina	53420
Engenharia Civil	52464
Gestão de Pessoas/ RH	47681
Sistemas de Informação	46978
Publicidade e Propaganda	44167
Fisioterapia	42833
