Year	ID_BRA	ID_HS	Exports	RegName	ExpSection
2011	2	1	128285030000	Nordeste	Animal Prod
2011	2	2	2485905593000	Nordeste	Vegetable Prod
2011	2	3	150522069000	Nordeste	Veg.&Animal derivatives
2011	2	4	2620333739000	Nordeste	Food Kinds
2011	2	5	3491899599000	Nordeste	Mineral Prod
2011	2	6	2188223402000	Nordeste	Chemicals
2011	2	7	706445994000	Nordeste	Plastics and Rubbers
2011	2	8	340104276000	Nordeste	Animal
2011	2	9	2885090000	Nordeste	Wood Prod
2011	2	10	1803879917000	Nordeste	Paper Prod
2011	2	11	782481245000	Nordeste	Textiles
2011	2	12	550356193000	Nordeste	Shoes, Hats and Similar
2011	2	13	34027436000	Nordeste	Articles of Stone and Other Materials
2011	2	14	479946802000	Nordeste	Precious metals
2011	2	15	1609106005000	Nordeste	Metals
2011	2	16	185462596000	Nordeste	Machines
2011	2	17	484511812000	Nordeste	Transports
2011	2	18	7238376000	Nordeste	Instruments
2011	2	19	0	Nordeste	Arms and Ammo
2011	2	20	22914405000	Nordeste	Miscelaneous
2011	2	21	303140000	Nordeste	Art and Antiques
