Year	ID_BRA	ID_HS	Exports	RegName	ExpSection
2012	3	1	1594415412100	Centro-Oeste	Animal Prod
2012	3	2	2137018554750	Centro-Oeste	Vegetable Prod
2012	3	3	594968376000	Centro-Oeste	Veg.&Animal derivatives
2012	3	4	1745948553600	Centro-Oeste	Food Kinds
2012	3	5	1089027254000	Centro-Oeste	Mineral Prod
2012	3	6	68128180000	Centro-Oeste	Chemicals
2012	3	7	7120393000	Centro-Oeste	Plastics and Rubbers
2012	3	8	403580360000	Centro-Oeste	Animal
2012	3	9	97951024000	Centro-Oeste	Wood Prod
2012	3	10	487219394000	Centro-Oeste	Paper Prod
2012	3	11	1045776973000	Centro-Oeste	Textiles
2012	3	12	6945086000	Centro-Oeste	Shoes, Hats and Similar
2012	3	13	13404381000	Centro-Oeste	Articles of Stone and Other Materials
2012	3	14	169120440000	Centro-Oeste	Precious metals
2012	3	15	592167491000	Centro-Oeste	Metals
2012	3	16	39726064000	Centro-Oeste	Machines
2012	3	17	11511201000	Centro-Oeste	Transports
2012	3	18	2674115000	Centro-Oeste	Instruments
2012	3	19	217000	Centro-Oeste	Arms and Ammo
2012	3	20	7085478000	Centro-Oeste	Miscelaneous
2012	3	21	5546000	Centro-Oeste	Art and Antiques
