Year	ID_BRA	ID_HS	Exports	RegName	ExpSection
2012	4	1	3192310565000	Sudeste	Animal Prod
2012	4	2	9684284086000	Sudeste	Vegetable Prod
2012	4	3	506997336000	Sudeste	Veg.&Animal derivatives
2012	4	4	16042545574000	Sudeste	Food Kinds
2012	4	5	22465932877500	Sudeste	Mineral Prod
2012	4	6	6266935573000	Sudeste	Chemicals
2012	4	7	3696580425000	Sudeste	Plastics and Rubbers
2012	4	8	608801086000	Sudeste	Animal
2012	4	9	119225618000	Sudeste	Wood Prod
2012	4	10	3647345283000	Sudeste	Paper Prod
2012	4	11	901918152000	Sudeste	Textiles
2012	4	12	168864272000	Sudeste	Shoes, Hats and Similar
2012	4	13	1385080597000	Sudeste	Articles of Stone and Other Materials
2012	4	14	2334762858000	Sudeste	Precious metals
2012	4	15	12938909036000	Sudeste	Metals
2012	4	16	13553142484000	Sudeste	Machines
2012	4	17	14693734311000	Sudeste	Transports
2012	4	18	766169509000	Sudeste	Instruments
2012	4	19	156725614000	Sudeste	Arms and Ammo
2012	4	20	538616658000	Sudeste	Miscelaneous
2012	4	21	45280934000	Sudeste	Art and Antiques
