Year	ID_BRA	ID_HS	Exports	RegName	ExpSection
2013	5	1	6631915964000	Sul	Animal Prod
2013	5	2	6296984634500	Sul	Vegetable Prod
2013	5	3	924142417000	Sul	Veg.&Animal derivatives
2013	5	4	5584302687600	Sul	Food Kinds
2013	5	5	572900954000	Sul	Mineral Prod
2013	5	6	1888820484000	Sul	Chemicals
2013	5	7	1746237561000	Sul	Plastics and Rubbers
2013	5	8	996820011000	Sul	Animal
2013	5	9	1432265904000	Sul	Wood Prod
2013	5	10	874867598000	Sul	Paper Prod
2013	5	11	528171112000	Sul	Textiles
2013	5	12	563334245000	Sul	Shoes, Hats and Similar
2013	5	13	285953230000	Sul	Articles of Stone and Other Materials
2013	5	14	97937428000	Sul	Precious metals
2013	5	15	1019661282000	Sul	Metals
2013	5	16	4753542830000	Sul	Machines
2013	5	17	5878144916000	Sul	Transports
2013	5	18	132320670000	Sul	Instruments
2013	5	19	157872770000	Sul	Arms and Ammo
2013	5	20	593944020000	Sul	Miscelaneous
2013	5	21	737868000	Sul	Art and Antiques
