Year	ID_BRA	ID_HS	Exports	RegName	ExpSection
2011	4	1	3150294158000	Sudeste	Animal Prod
2011	4	2	11051416078000	Sudeste	Vegetable Prod
2011	4	3	457710034000	Sudeste	Veg.&Animal derivatives
2011	4	4	16656376480000	Sudeste	Food Kinds
2011	4	5	20876252100400	Sudeste	Mineral Prod
2011	4	6	6723987102000	Sudeste	Chemicals
2011	4	7	3950277401000	Sudeste	Plastics and Rubbers
2011	4	8	579752173000	Sudeste	Animal
2011	4	9	117733395000	Sudeste	Wood Prod
2011	4	10	3923491547000	Sudeste	Paper Prod
2011	4	11	986622205000	Sudeste	Textiles
2011	4	12	177792401000	Sudeste	Shoes, Hats and Similar
2011	4	13	1364136122000	Sudeste	Articles of Stone and Other Materials
2011	4	14	2142267495000	Sudeste	Precious metals
2011	4	15	14268057973000	Sudeste	Metals
2011	4	16	13422458856000	Sudeste	Machines
2011	4	17	15482247022000	Sudeste	Transports
2011	4	18	791524828000	Sudeste	Instruments
2011	4	19	146559858000	Sudeste	Arms and Ammo
2011	4	20	431402352000	Sudeste	Miscelaneous
2011	4	21	55280615000	Sudeste	Art and Antiques
