Year	ID_BRA	ID_HS	Exports	RegName	ExpSection
2010	4	1	2818420147000	Sudeste	Animal Prod
2010	4	2	8256633892000	Sudeste	Vegetable Prod
2010	4	3	267357373000	Sudeste	Veg.&Animal derivatives
2010	4	4	14846136207000	Sudeste	Food Kinds
2010	4	5	19043055273500	Sudeste	Mineral Prod
2010	4	6	5631740214000	Sudeste	Chemicals
2010	4	7	3144600678000	Sudeste	Plastics and Rubbers
2010	4	8	581286885000	Sudeste	Animal
2010	4	9	108694918000	Sudeste	Wood Prod
2010	4	10	3548442620000	Sudeste	Paper Prod
2010	4	11	768359695000	Sudeste	Textiles
2010	4	12	179987261000	Sudeste	Shoes, Hats and Similar
2010	4	13	1327936609000	Sudeste	Articles of Stone and Other Materials
2010	4	14	1692465414000	Sudeste	Precious metals
2010	4	15	10802804873000	Sudeste	Metals
2010	4	16	10978992165000	Sudeste	Machines
2010	4	17	13523239165000	Sudeste	Transports
2010	4	18	671789050000	Sudeste	Instruments
2010	4	19	171588672000	Sudeste	Arms and Ammo
2010	4	20	336728360000	Sudeste	Miscelaneous
2010	4	21	19220012000	Sudeste	Art and Antiques
